AR06142	经济地理学
AR06143	城市开发与房地产经济
AR10010	建筑构造课程设计
AR10016	毕业实习
AR10017	毕业设计（论文）
CE06033	建筑概论
GE02042	城市道路与交通
GE13041	室内设计原理
GE15136	建筑概论及其哲学思考
GE16058	非日常的日常生活建筑
MOOC032	中外美术评析与欣赏
MOOC06010	色彩密码
GE14132	心理学名家名著
BA04042	应用统计学
EN04002	金融学
EN04015	计量经济学
EN06027	外汇交易理论与实务
FI04005	国际金融学
FI04007	计量经济学
FI04008X	动态规划与随机控制
FI04010	风险管理（保险方向）
FI04012	投资学（证券投资）
FI05005N	保险精算学（寿险Ⅰ）
FI05006N	保险精算学（非寿险）
FI05009	中央银行学
FI05014	商业银行管理学
FI05015	技术经济与项目评估
FI05016	外汇交易理论与实务
FI05019	投资学
FI05020	运筹学
FI05024N	保险法
FI05025	博弈论
FI05026	金融工程学
FI05027	金融计量学
FI05030	金融衍生品定价与管理
FI05031	数据挖掘技术
FI05038	人寿与健康保险
FI05040	寿险精算I
FI05041	非寿险精算
FI06012	个人理财
FI06013	固定收益证券
FI06016	国际金融函电
FI06026	金融交易技术分析实验
FI06038	商业银行业务模拟
FI06042N	保险精算学（寿险Ⅱ）
FI06043	数值分析
FI06055	国际金融学
FI06058	信托与租赁
FI06062	Excel金融建模
FI06063	保险公司财务管理
FI06064	保险会计
FI06070	国际投资学
FI06071	互联网金融
FI06074	金融专业英语
FI06079	数值计算方法
FI06083	再保险原理与实务
FI06085	资产定价理论
FI06127	保险学概论
FI06128	金融机构与金融市场
FI10025	毕业论文（导师指导课）
FI10026	毕业实习
FI10041	毕业论文（导师指导课）
GE14021	风险与保险
GE14028	国际金融学
GE14121	金融理财
GE14146	互联网金融
GE14199	 金融科技 
GE15119	养老保险规划
MOOC055	金融学
ST04006	统计学
ST04007	计量经济学A
ST04008	数理统计
ST04009	统计学概论
ST04010	概率论
ST05004	随机过程
ST05005	国民经济统计学
ST05006	时间序列分析
ST05007	质量管理统计学
ST05010	统计软件
ST05014	大数据分析与挖掘
BA06032	国际贸易学
BA06173	税法与纳税筹划
CA05005	税收管理学
CA05007	税收筹划
CA05008	国际税收学
EN04005	应用统计学
